,fps
walle.mp4,23.976024332188622
rio_jungle_jig.mp4,24.975024975024976
bedtime.mp4,25.0
forest.mp4,23.976023976023974
pingu.mp4,25.0
moana.mp4,23.97602436002514
cars.mp4,23.976023976023974
tayo_bus.mp4,29.9700304122765
up_russell.mp4,23.976023976023974
ratatouille.mp4,23.976023616518212
incredibles.mp4,23.97602361242517
piper.mp4,23.976023976023974
minions_supermarket.mp4,29.97002997002997
real_cars.mp4,25.0
bathsong.mp4,25.0
breakfast_smoothie.mp4,29.97002997002997
new_orleans.mp4,25.0
wallace_gromit.mp4,25.0
up_kevin_nonsocial.mp4,23.976023622487865
supermarket.mp4,25.0
our_planet.mp4,23.976023590477553
up_kevin_social.mp4,23.976024326328503
funny_tools.mp4,25.0
hand_tools.mp4,29.97011093750515
despicable_me.mp4,23.976023976023974
dalmations.mp4,23.976023624433928
steamed_buns.mp4,25.0
cartoon_cars.mp4,24.0
mountain_song.mp4,24.0
beachsong.mp4,25.0
